Go.	Ṛuḥ.	CC-BY 2.0 (France) Attribution: tatoeba.org #2877272 (CM) & #8325200 (Yagurten)
Tom knows better than to give his real name in chat rooms.	Tom yeẓra dakken ur yessefk ad yefk yiwen isem-nnes n tidet deg tmesrit n udiwenni.	CC-BY 2.0 (France) Attribution: tatoeba.org #1093334 (CK) & #5721328 (Amastan)
Tom looked around at all the empty desks in the classroom.	Tom yemmuqqel akk tiduba tilmawin n tneɣrit.	CC-BY 2.0 (France) Attribution: tatoeba.org #3480060 (CK) & #9451353 (Yagurten)
Tom made a reservation for three days at the Hilton Hotel.	Tom iḥejjeṛ taxxamt i kraḍ n wussan deg usensu n Hilton.	CC-BY 2.0 (France) Attribution: tatoeba.org #1024491 (CK) & #9455505 (Yagurten)
Tom made no attempt to convince Mary that he was innocent.	Tom ur yeɛriḍ ara akk ad yesseqneɛ Mary belli netta d ilemri.	CC-BY 2.0 (France) Attribution: tatoeba.org #1093225 (CK) & #2875351 (Amastan)
Tom suddenly slammed on the brakes to avoid hitting a dog.	Taswiɛt kan, iwet Tom amawaɣ akken ur yekkat ara yiwen n uydi.	CC-BY 2.0 (France) Attribution: tatoeba.org #2958255 (CK) & #7567049 (Amastan)
Tom told Mary that she could do whatever she wanted to do.	Tom yenna-as i Mary belli tezmer ad teg ayen ay tebɣa.	CC-BY 2.0 (France) Attribution: tatoeba.org #1027903 (CK) & #2703999 (Amastan)
Tom usually goes to school by bus, but sometimes he walks.	Tom yennum yetteddu ɣer uɣerbaz s usakal, maca tikkal, yetteddu ɣef uḍar.	CC-BY 2.0 (France) Attribution: tatoeba.org #6230935 (CK) & #8464588 (Amastan)
Tom was too shy to take part in games with the other boys.	Tom yella yettsetḥi ad yettekki deg wurar d warrac niḍen.	CC-BY 2.0 (France) Attribution: tatoeba.org #37230 (CK) & #7571057 (Yagurten)
We bought a camera, a clock and some dishes in that store.	Nesɣa-d takamra, tamrint d kra n yiqbac seg tḥanut-nni.	CC-BY 2.0 (France) Attribution: tatoeba.org #262700 (CK) & #8464426 (Amastan)
We bought a camera, a clock and some dishes in that store.	Nesɣa-d tasewlaft, tamrint d kra n yiqbac seg tḥanut-nni.	CC-BY 2.0 (France) Attribution: tatoeba.org #262700 (CK) & #8464427 (Amastan)
We spend piles of money on the things we don't really use.	La nettṣerrif idrimen imeqranen ɣef tɣawsiwin ur nesseqdac.	CC-BY 2.0 (France) Attribution: tatoeba.org #262806 (CM) & #1622747 (Amastan)
We want to make absolutely sure that Tom wants to do that.	Nebɣa ad netḥeqq s tidet belli Tom yebɣa ad yeg aya.	CC-BY 2.0 (France) Attribution: tatoeba.org #2042719 (CK) & #2704444 (Amastan)
We were allowed to speak either in English or in Japanese.	Fkan-aɣ ttesriḥ ad nessiwel kan s tanglizit neɣ s tjapunit.	CC-BY 2.0 (France) Attribution: tatoeba.org #26369 (CK) & #1675173 (Amastan)
We're going to travel to Estonia at the end of next month.	Ad neddu ɣer Isṭunya deg tgara n wayyur ay d-itteddun.	CC-BY 2.0 (France) Attribution: tatoeba.org #1224133 (Ketutar) & #1750898 (Amastan)
What a nice car you have! You must have paid a lot for it.	Ay telha tkeṛṛust-nnek! Iban kan tesɣiḍ-tt-id ɣlayet.	CC-BY 2.0 (France) Attribution: tatoeba.org #273950 (CK) & #1750713 (Amastan)
What did you do when you knew that your house was haunted?	D acu ay tgiḍ mi teẓriḍ axxam-nnek yettwamlek?	CC-BY 2.0 (France) Attribution: tatoeba.org #1818952 (Amastan) & #1818954 (Amastan)
What do you spend most of your time on the computer doing?	D acu ay tettged s uselkim deg wakud-a akk?	CC-BY 2.0 (France) Attribution: tatoeba.org #909587 (CK) & #7558650 (Amastan)
What would you do if you met a person from another planet?	D acu ara tged lemmer ad tessned amdan seg umtiweg niḍen?	CC-BY 2.0 (France) Attribution: tatoeba.org #433411 (bourdu) & #7092542 (Amastan)
When I arrived at the station, the train had already left.	Mi uwḍeɣ ɣer teɣsert, yufa-d lḥal tamacint-nni teqleɛ yagi.	CC-BY 2.0 (France) Attribution: tatoeba.org #246614 (CK) & #1763741 (Amastan)
While I was waiting for the bus, I saw a traffic accident.	Mi lliɣ ttṛajuɣ asakac, walaɣ yiwen n usehwu n webrid.	CC-BY 2.0 (France) Attribution: tatoeba.org #35252 (gin) & #1780911 (Amastan)
Yesterday a foreigner spoke to me in English on the train.	Iḍelli, yenṭeq-d ɣer-i yiwen n ubeṛṛani s tanglizit deg tmacint.	CC-BY 2.0 (France) Attribution: tatoeba.org #63298 (CK) & #1668366 (Amastan)
You learn a lot about your own country if you live abroad.	Mi ara teddreḍ deg lbeṛṛani, ad ternuḍ ad tlemdeḍ aṭas n tɣawsiwin ɣef tmurt-nnek.	CC-BY 2.0 (France) Attribution: tatoeba.org #21947 (CK) & #1861683 (Amastan)
You learn a lot about your own country if you live abroad.	Mi ara teddreḍ deg lbeṛṛani, ad ternuḍ ad tlemdeḍ aṭas n tɣawsiwin ɣef tmurt-nnem.	CC-BY 2.0 (France) Attribution: tatoeba.org #21947 (CK) & #1861686 (Amastan)
You learn a lot about your own country if you live abroad.	Mi ara teddrem deg lbeṛṛani, ad ternum ad tlemdem aṭas n tɣawsiwin ɣef tmurt-nwen.	CC-BY 2.0 (France) Attribution: tatoeba.org #21947 (CK) & #1861687 (Amastan)
You learn a lot about your own country if you live abroad.	Mi ara teddremt deg lbeṛṛani, ad ternumt ad tlemdemt aṭas n tɣawsiwin ɣef tmurt-nwent.	CC-BY 2.0 (France) Attribution: tatoeba.org #21947 (CK) & #1861689 (Amastan)
You learn a lot about your own country if you live abroad.	Mi ara teddreḍ deg lbeṛṛani, ad tlemdeḍ aṭas n tɣawsiwin ur tessineḍ ɣef tmurt-nnek.	CC-BY 2.0 (France) Attribution: tatoeba.org #21947 (CK) & #1861692 (Amastan)
You learn a lot about your own country if you live abroad.	Mi ara teddreḍ deg lbeṛṛani, ad tlemdeḍ aṭas n tɣawsiwin ur tessineḍ ɣef tmurt-nnem.	CC-BY 2.0 (France) Attribution: tatoeba.org #21947 (CK) & #1861693 (Amastan)
You learn a lot about your own country if you live abroad.	Mi ara teddrem deg lbeṛṛani, ad tlemdem aṭas n tɣawsiwin ur tessinem ɣef tmurt-nwen.	CC-BY 2.0 (France) Attribution: tatoeba.org #21947 (CK) & #1861697 (Amastan)
You learn a lot about your own country if you live abroad.	Mi ara teddremt deg lbeṛṛani, ad tlemdemt aṭas n tɣawsiwin ur tessinemt ɣef tmurt-nwent.	CC-BY 2.0 (France) Attribution: tatoeba.org #21947 (CK) & #1861698 (Amastan)
You should ask the doctor for something to help you sleep.	A win yufan ad as-tessutred i yimsujji ad ak-d-yefk kra n usafar ara k-yallen ad teṭṭsed.	CC-BY 2.0 (France) Attribution: tatoeba.org #3161685 (CK) & #8472077 (Amastan)
You should ask the doctor for something to help you sleep.	A win yufan ad as-tessutred i yimsujji ad am-d-yefk kra n usafar ara kem-yallen ad teṭṭsed.	CC-BY 2.0 (France) Attribution: tatoeba.org #3161685 (CK) & #8472078 (Amastan)
You should ask the doctor for something to help you sleep.	A win yufan ad as-tessutrem i yimsujji ad awen-d-yefk kra n usafar ara ken-yallen ad teṭṭsem.	CC-BY 2.0 (France) Attribution: tatoeba.org #3161685 (CK) & #8472079 (Amastan)
You should ask the doctor for something to help you sleep.	A win yufan ad as-tessutremt i yimsujji ad awent-d-yefk kra n usafar ara kent-yallen ad teṭṭsemt.	CC-BY 2.0 (France) Attribution: tatoeba.org #3161685 (CK) & #8472080 (Amastan)
You should ask the doctor for something to help you sleep.	A win yufan ad as-tessutred i temsujjit ad ak-d-tefk kra n usafar ara k-yallen ad teṭṭsed.	CC-BY 2.0 (France) Attribution: tatoeba.org #3161685 (CK) & #8472084 (Amastan)
You should ask the doctor for something to help you sleep.	A win yufan ad as-tessutred i temsujjit ad am-d-tefk kra n usafar ara kem-yallen ad teṭṭsed.	CC-BY 2.0 (France) Attribution: tatoeba.org #3161685 (CK) & #8472085 (Amastan)
You should ask the doctor for something to help you sleep.	A win yufan ad as-tessutrem i temsujjit ad awen-d-tefk kra n usafar ara ken-yallen ad teṭṭsem.	CC-BY 2.0 (France) Attribution: tatoeba.org #3161685 (CK) & #8472088 (Amastan)
You should ask the doctor for something to help you sleep.	A win yufan ad as-tessutremt i temsujjit ad awent-d-tefk kra n usafar ara kent-yallen ad teṭṭsemt.	CC-BY 2.0 (France) Attribution: tatoeba.org #3161685 (CK) & #8472089 (Amastan)
You should have locked, or at least closed, all the doors.	Yella yessefk ad tsekṛeḍ, neɣ meqqar ad tɣelqeḍ akk tiwwura.	CC-BY 2.0 (France) Attribution: tatoeba.org #15936 (Swift) & #1769671 (Amastan)
You'd better hurry up if you want to get home before dark.	Ɣas ɣiwel ma tebɣiḍ ad tawḍeḍ s axxam uqbel ma ɣlint-d tillas.	CC-BY 2.0 (France) Attribution: tatoeba.org #28431 (CK) & #1863437 (Amastan)
You'd better hurry up if you want to get home before dark.	Ɣas ɣiwlet ma tebɣam ad tawḍem s axxam uqbel ma ɣlint-d tillas.	CC-BY 2.0 (France) Attribution: tatoeba.org #28431 (CK) & #1863438 (Amastan)
You'd better hurry up if you want to get home before dark.	Ɣas ɣiwlemt ma tebɣamt ad tawḍemt s axxam uqbel ma ɣlint-d tillas.	CC-BY 2.0 (France) Attribution: tatoeba.org #28431 (CK) & #1863439 (Amastan)
You'll be able to take many pictures with your new camera.	S temseknewt-nnek tamaynut, ad tzemreḍ ad d-tgeḍ aṭas n tugniwin.	CC-BY 2.0 (France) Attribution: tatoeba.org #688000 (lukaszpp) & #1736628 (Amastan)
Both Tom and Mary look like they've put on a little weight.	Tom d Mary ttbanen-d rnan deg sin deg lmizan.	CC-BY 2.0 (France) Attribution: tatoeba.org #6525134 (CK) & #7579977 (Yagurten)
Can you imagine what life would be like without television?	Tzemreḍ ad txayleḍ amek ara tili tmeddurt war tiliẓri?	CC-BY 2.0 (France) Attribution: tatoeba.org #39269 (CK) & #1617087 (Amastan)
Did you know there was a Chinese restaurant on Park Street?	Teẓriḍ yella usečču aṣini deg Park Street?	CC-BY 2.0 (France) Attribution: tatoeba.org #6228939 (CK) & #7545401 (Yagurten)
During his stay in London, he is going to visit his cousin.	Mi ara yili deg London, ad yerzu ɣef memmi-s n ɛemmi-s.	CC-BY 2.0 (France) Attribution: tatoeba.org #29295 (CK) & #2555273 (Amastan)
During his stay in London, he is going to visit his cousin.	Mi ara yili deg London, ad yerzu ɣef yelli-s n ɛemmi-s.	CC-BY 2.0 (France) Attribution: tatoeba.org #29295 (CK) & #2555276 (Amastan)
During his stay in London, he is going to visit his cousin.	Mi ara yili deg London, ad yerzu ɣef memmi-s n xali-s.	CC-BY 2.0 (France) Attribution: tatoeba.org #29295 (CK) & #2555277 (Amastan)
During his stay in London, he is going to visit his cousin.	Mi ara yili deg London, ad yerzu ɣef yelli-s n xali-s.	CC-BY 2.0 (France) Attribution: tatoeba.org #29295 (CK) & #2555279 (Amastan)
During his stay in London, he is going to visit his cousin.	Mi ara yili deg London, ad yerzu ɣef memmi-s n ɛemmti-s.	CC-BY 2.0 (France) Attribution: tatoeba.org #29295 (CK) & #2555280 (Amastan)
During his stay in London, he is going to visit his cousin.	Mi ara yili deg London, ad yerzu ɣef yelli-s n ɛemmti-s.	CC-BY 2.0 (France) Attribution: tatoeba.org #29295 (CK) & #2555282 (Amastan)
During his stay in London, he is going to visit his cousin.	Mi ara yili deg London, ad yerzu ɣef memmi-s n xalti-s.	CC-BY 2.0 (France) Attribution: tatoeba.org #29295 (CK) & #2555283 (Amastan)
During his stay in London, he is going to visit his cousin.	Mi ara yili deg London, ad yerzu ɣef yelli-s n xalti-s.	CC-BY 2.0 (France) Attribution: tatoeba.org #29295 (CK) & #2555284 (Amastan)
Eat everything on your plate, or you won't get any dessert.	Ecc akk ayen yellan deg uḍebsi-nnek ma ulac ur tettetteḍ tasegrit.	CC-BY 2.0 (France) Attribution: tatoeba.org #64478 (CK) & #1698141 (Amastan)
Even the experts took the painting for a genuine Rembrandt.	Ula d imezzayen ɣilen tafelwit-nni d tidet d Rembrandt ay tt-igan.	CC-BY 2.0 (France) Attribution: tatoeba.org #45782 (CM) & #1748613 (Amastan)
Excuse me. Can you direct me to the nearest subway station?	Ssuref-iyi. Tzemreḍ ad iyi-d-temleḍ abrid ɣer teɣsert n umiṭru ay iqerben akk?	CC-BY 2.0 (France) Attribution: tatoeba.org #51453 (CK) & #1831143 (Amastan)
Generally speaking, men are physically stronger than women.	S umata, irgazen jehden ɣef tsednan.	CC-BY 2.0 (France) Attribution: tatoeba.org #27339 (CK) & #1631011 (Amastan)
He deliberately ignored me when I passed him in the street.	S tmeɛmada ay yerra iman-nnes ur iyi-yeẓri mi akken ay ɛeddaɣ fell-as deg wezniq.	CC-BY 2.0 (France) Attribution: tatoeba.org #278330 (CK) & #1766820 (Amastan)
He kept it secret that he had bought a bicycle for his son.	Yesɣa-d asnasɣal i memmi-s maca ur yenni i yiwen.	CC-BY 2.0 (France) Attribution: tatoeba.org #300960 (CK) & #1753014 (Amastan)
He kept it secret that he had bought a bicycle for his son.	Ur yenni i yiwen yesɣa-d asnasɣal i memmi-s.	CC-BY 2.0 (France) Attribution: tatoeba.org #300960 (CK) & #1753015 (Amastan)
He lost his position just because he refused to tell a lie.	Yesṛuḥ axeddim-nnes imi kan ay yugi ad d-yeskiddeb.	CC-BY 2.0 (France) Attribution: tatoeba.org #40889 (CM) & #1606249 (Amastan)
He said that if he knew her address, he would write to her.	Yenna-d lemmer d ay yessin tansa-nnes, ad as-yaru.	CC-BY 2.0 (France) Attribution: tatoeba.org #302802 (CK) & #1603388 (Amastan)
He showed me the camera which he had bought the day before.	Yessken-iyi-d takamra ay d-yesɣa iḍelli-nni.	CC-BY 2.0 (France) Attribution: tatoeba.org #288225 (CK) & #8464438 (Amastan)
He showed me the camera which he had bought the day before.	Yessken-iyi-d tasewlaft ay d-yesɣa iḍelli-nni.	CC-BY 2.0 (France) Attribution: tatoeba.org #288225 (CK) & #8464439 (Amastan)
Her mother is going to undergo a major operation next week.	Yemma-s ad teg tamhelt d tameqrant imalas i d-itteddun.	CC-BY 2.0 (France) Attribution: tatoeba.org #309751 (CK) & #7544931 (Yagurten)
I am really glad to hear that you want to live in Scotland.	Feṛḥeɣ mliḥ imi ay sliɣ tebɣiḍ ad tzedɣeḍ deg Tikust.	CC-BY 2.0 (France) Attribution: tatoeba.org #852167 (marloncori) & #1620117 (Amastan)
I assume that you know a little about computer programming.	Cikkeɣ tessned cwiṭ assihel n yiselkimen.	CC-BY 2.0 (France) Attribution: tatoeba.org #7190436 (CK) & #3224335 (Amastan)
I can't remember her phone number no matter how much I try.	S kra ay ɛerḍeɣ ad cfuɣ ɣef wuṭṭun-nnes n usawal, ur ssawḍeɣ ara.	CC-BY 2.0 (France) Attribution: tatoeba.org #688405 (CK) & #8454869 (Amastan)
I can't remember her phone number no matter how much I try.	S kra ay urmeɣ ad cfuɣ ɣef wuṭṭun-nnes n usawal, ur ssawḍeɣ ara.	CC-BY 2.0 (France) Attribution: tatoeba.org #688405 (CK) & #8454870 (Amastan)
I caught my son making prank calls to random phone numbers.	Ṭṭfeɣ memmi la yeɣɣar i medden akken ad yesmesxer yes-sen.	CC-BY 2.0 (France) Attribution: tatoeba.org #731323 (darinmex) & #8454489 (Amastan)
I don't have the courage to ask my boss to lend me his car.	Ur sɛiɣ tabɣest ad as-iniɣ i unemhal-inu ad iyi-d-yerḍel takeṛṛust-nnes.	CC-BY 2.0 (France) Attribution: tatoeba.org #249927 (CK) & #1656500 (Amastan)
I look forward to receiving your reply as soon as possible.	Ssarameɣ ad d-taweḍ tririt ɣef zik lḥal.	CC-BY 2.0 (France) Attribution: tatoeba.org #39537 (CK) & #2042499 (Amastan)
I look forward to receiving your reply as soon as possible.	Ssarameɣ ad d-taweḍ tririt-nnek ɣef zik lḥal.	CC-BY 2.0 (France) Attribution: tatoeba.org #39537 (CK) & #2042501 (Amastan)
I look forward to receiving your reply as soon as possible.	Ssarameɣ ad d-taweḍ tririt-nnem ɣef zik lḥal.	CC-BY 2.0 (France) Attribution: tatoeba.org #39537 (CK) & #2042502 (Amastan)
I look forward to receiving your reply as soon as possible.	Ssarameɣ ad d-taweḍ tririt-nwen ɣef zik lḥal.	CC-BY 2.0 (France) Attribution: tatoeba.org #39537 (CK) & #2042504 (Amastan)
I look forward to receiving your reply as soon as possible.	Ssarameɣ ad d-taweḍ tririt-nwent ɣef zik lḥal.	CC-BY 2.0 (France) Attribution: tatoeba.org #39537 (CK) & #2042507 (Amastan)
I offered to pick Tom up, but he wanted to come by himself.	Nniɣ-as i Tom ma yella ad t-id-awyeɣ, maca yenna-iyi-d yebɣa ad d-yas i yiman-nnes.	CC-BY 2.0 (France) Attribution: tatoeba.org #2389510 (CK) & #2702146 (Amastan)
I want to travel this summer, but I don't know where to go.	Bɣiɣ ad ssikleɣ anebdu-a, maca ur ẓriɣ sanda ara dduɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #60179 (CK) & #1770128 (Amastan)
I want you to buy a new suit to wear to your job interview.	Riɣ ad d-tesɣed aselsu amaynu akken ad t-telsed ɣer udiwenni-nnek n umahil.	CC-BY 2.0 (France) Attribution: tatoeba.org #3150730 (CK) & #4100399 (Amastan)
I want you to buy a new suit to wear to your job interview.	Bɣiɣ ad d-tesɣed aselsu amaynu akken ad t-telsed ɣer udiwenni-nnek n uxeddim.	CC-BY 2.0 (France) Attribution: tatoeba.org #3150730 (CK) & #4100402 (Amastan)
I wanted a key to Tom's house, but he wouldn't give me one.	Lliɣ bɣiɣ ad sɛuɣ tasarut n wexxam n Tom, maca yugi ad iyi-d-yefk yiwet.	CC-BY 2.0 (France) Attribution: tatoeba.org #2042734 (CK) & #2592104 (Amastan)
I'd like to stay and chat, but I've got a meeting to go to.	Ɣseɣ ad qqimeɣ ad qeṣṣreɣ, maca yessefk ad dduɣ ɣer yiwet n temlilit.	CC-BY 2.0 (France) Attribution: tatoeba.org #1936348 (CK) & #5721359 (Amastan)
I'll eat my hat if, by some chance, my team loses to yours.	Lemmer ad texṣer teɣlamt-inu akked tin-nnek, ad cceɣ arazal-inu.	CC-BY 2.0 (France) Attribution: tatoeba.org #65591 (CM) & #1698153 (Amastan)
I'm sorry that I couldn't make it to your party last night.	Sḥissifeɣ imi ur d-ssawḍeɣ ara tameɣra-inek leεca.	CC-BY 2.0 (France) Attribution: tatoeba.org #7185981 (CK) & #7645671 (Yagurten)
I'm sorry to disturb you, but there's a phone call for you.	Ssuref-iyi ma ceṭṭneɣ-k, maca yella win ay ak-d-yeɣran s usawal.	CC-BY 2.0 (France) Attribution: tatoeba.org #64439 (CK) & #1604140 (Amastan)
I've been invited on a trip abroad, but I don't want to go.	Ɛerḍen-iyi-d akken ad dduɣ ɣer lbeṛṛani, maca ur bɣiɣ ad dduɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #22187 (CK) & #1763460 (Amastan)
If I were to tell you the whole truth, you would be amazed.	Lemmer ad ak-d-iniɣ akk tidet yellan, ad twehmeḍ.	CC-BY 2.0 (France) Attribution: tatoeba.org #25339 (CK) & #1864240 (Amastan)
If you go by plane, you won't be able to take much luggage.	Ma yella ad teddud s usafag, ur tzemmred ara ad tawyed yid-k aṭas n leḥwal.	CC-BY 2.0 (France) Attribution: tatoeba.org #2267262 (_undertoad) & #3218300 (Amastan)
If you had parked your car here, you would have been fined.	Lemmer d ay tesɣesreḍ takeṛṛust-nnek da, tili ad tettwaxeḍḍiḍ.	CC-BY 2.0 (France) Attribution: tatoeba.org #30886 (Zifre) & #1868545 (Amastan)
If you had parked your car here, you would have been fined.	Lemmer d ay tesɣesreḍ takeṛṛust-nnem da, tili ad tettwaxeḍḍiḍ.	CC-BY 2.0 (France) Attribution: tatoeba.org #30886 (Zifre) & #1868546 (Amastan)
If you had parked your car here, you would have been fined.	Lemmer d ay tesɣesrem takeṛṛust-nwen da, tili ad tettwaxeḍḍim.	CC-BY 2.0 (France) Attribution: tatoeba.org #30886 (Zifre) & #1868547 (Amastan)
If you had parked your car here, you would have been fined.	Lemmer d ay tesɣesremt takeṛṛust-nwent da, tili ad tettwaxeḍḍimt.	CC-BY 2.0 (France) Attribution: tatoeba.org #30886 (Zifre) & #1868548 (Amastan)
It is difficult for foreign students to speak English well.	Yewɛeṛ ɣef yinelmaden ibeṛṛaniyen ad ssiwlen mliḥ tanglizit.	CC-BY 2.0 (France) Attribution: tatoeba.org #21878 (CK) & #1759131 (Amastan)
It looks as if Tom is trying to slow down the negotiations.	Yettban-d dakken Tom la iεeṛṛeḍ ad yesεeṭṭel lemcawṛat.	CC-BY 2.0 (France) Attribution: tatoeba.org #3022510 (sharptoothed) & #7645984 (Yagurten)
It takes twenty minutes to walk from the station to school.	Teḥwajeḍ snat n tmerwin n tedqiqin akken ad tedduḍ seg teɣsert ɣer uɣerbaz.	CC-BY 2.0 (France) Attribution: tatoeba.org #26107 (CK) & #1660641 (Amastan)
Japanese high school students go to school 35 weeks a year.	Inelmaden n tesnawit, deg Japun, qqaren 35 n ledwaṛ deg useggas.	CC-BY 2.0 (France) Attribution: tatoeba.org #281384 (CK) & #1804623 (Amastan)
Japanese high school students go to school 35 weeks a year.	Inelmaden n tesnawit, deg Japun, qqaren kraḍt n tmerwin ed semmus n ledwaṛ deg useggas.	CC-BY 2.0 (France) Attribution: tatoeba.org #281384 (CK) & #1804624 (Amastan)
Japanese high school students go to school 35 weeks a year.	Inelmaden n tesnawit, deg Japun, qqaren xemsa ed tlatin n ledwaṛ deg useggas.	CC-BY 2.0 (France) Attribution: tatoeba.org #281384 (CK) & #1804625 (Amastan)
Just in case something happens, here's my telephone number.	Ma yella kra ay yeḍran, atan wuḍḍun-inu n usawal.	CC-BY 2.0 (France) Attribution: tatoeba.org #3130871 (CK) & #3131321 (Amastan)
Madrid is the capital of Spain and its most important city.	Madrid d tamaneɣt n Spenyul yerna d nettat ay d tamdint tameqrant akk deg tmurt-a.	CC-BY 2.0 (France) Attribution: tatoeba.org #1657255 (CK) & #1699911 (Amastan)
Man has a great capacity to adapt to environmental changes.	Amdan yesεa akettur d ameqran akken ad d-yemyezg d ubeddel n twennaḍt.	CC-BY 2.0 (France) Attribution: tatoeba.org #270269 (CM) & #7646035 (Yagurten)
Many Native American communities need doctors and teachers.	Aṭas n tegrawin n Yihendiyen n Temrikt ay yeḥwajen imsujjiyen ed yiselmaden.	CC-BY 2.0 (France) Attribution: tatoeba.org #1783035 (Amastan) & #1783036 (Amastan)
My father has been engaged in foreign trade for many years.	Baba‑kʷ mennaw isuggasen sy yekli iman‑s tijaṛet mɛa tmuṛa n wezɣar.	CC-BY 2.0 (France) Attribution: tatoeba.org #251714 (CK) & #2965999 (Uyezjen)
My grandmother looks after the children during the daytime.	D jida ay yettaḍḍafen igerdan-nni deg wass.	CC-BY 2.0 (France) Attribution: tatoeba.org #1245694 (CK) & #1763184 (Amastan)
My grandmother looks after the children during the daytime.	D jida ay yettɛassan igerdan-nni deg wass.	CC-BY 2.0 (France) Attribution: tatoeba.org #1245694 (CK) & #1763185 (Amastan)
My teacher told me to turn in my paper as soon as possible.	Taselmadt-inu tenna-iyi-d yessefk ad as-rreɣ aneskin-inu ɣef zik lḥal.	CC-BY 2.0 (France) Attribution: tatoeba.org #272890 (CK) & #1757610 (Amastan)
Now that you are a college student, you should know better.	Imir-a, mi akka ay aql-ik d anelmad deg tesdawit, a win yufan ad tiliḍ tessneḍ xir.	CC-BY 2.0 (France) Attribution: tatoeba.org #31205 (CK) & #1872585 (Amastan)
Now that you are a college student, you should know better.	Imir-a, mi akka ay aql-ikem d tanelmadt deg tesdawit, a win yufan ad tiliḍ tessneḍ xir.	CC-BY 2.0 (France) Attribution: tatoeba.org #31205 (CK) & #1872587 (Amastan)
Now that you are a college student, you should know better.	Imir-a, mi akka ay aql-iken d inelmaden deg tesdawit, a win yufan ad tilim tessnem xir.	CC-BY 2.0 (France) Attribution: tatoeba.org #31205 (CK) & #1872588 (Amastan)
Now that you are a college student, you should know better.	Imir-a, mi akka ay aql-ikent d tinelmadin deg tesdawit, a win yufan ad tilimt tessnemt xir.	CC-BY 2.0 (France) Attribution: tatoeba.org #31205 (CK) & #1872590 (Amastan)
Now that you're a college student, you should study harder.	Imir-a, mi akka ay aql-ik d anelmad deg tesdawit, yessefk ad tḥeṛseḍ iman-nnek ugar deg tezrawin.	CC-BY 2.0 (France) Attribution: tatoeba.org #31204 (CK) & #1872567 (Amastan)
Now that you're a college student, you should study harder.	Imir-a, mi akka ay aql-ikem d tanelmadt deg tesdawit, yessefk ad tḥeṛseḍ iman-nnem ugar deg tezrawin.	CC-BY 2.0 (France) Attribution: tatoeba.org #31204 (CK) & #1872568 (Amastan)
Now that you're a college student, you should study harder.	Imir-a, mi akka ay aql-iken d inelmaden deg tesdawit, yessefk ad tḥeṛsem iman-nwen ugar deg tezrawin.	CC-BY 2.0 (France) Attribution: tatoeba.org #31204 (CK) & #1872570 (Amastan)
Now that you're a college student, you should study harder.	Imir-a, mi akka ay aql-ikent d tinelmadin deg tesdawit, yessefk ad tḥeṛsemt iman-nwent ugar deg tezrawin.	CC-BY 2.0 (France) Attribution: tatoeba.org #31204 (CK) & #1872571 (Amastan)
One of my brothers is a teacher and the others are lawyers.	Yiwen seg waytmaten-inu d aselmad, ma d wiyaḍ d ibugaṭuten.	CC-BY 2.0 (France) Attribution: tatoeba.org #250733 (CK) & #1736568 (Amastan)
Plastic kills countless seabirds and sea turtles each year.	Plastik ineqq aṭas n yigḍaḍ iwlalen d yifekren yal aseggas.	CC-BY 2.0 (France) Attribution: tatoeba.org #2144364 (Dreamk33) & #7643801 (Yagurten)
Scientists can easily compute the distance between planets.	Imassanen zemren ad ḥesben s tefses imeccaqen yellan gar yimtiwgen.	CC-BY 2.0 (France) Attribution: tatoeba.org #23972 (CK) & #7092523 (Amastan)
Scientists can easily compute the distance between planets.	Imassanen zemren ad ḥesben s tefses ameccaq yellan gar yimtiwgen.	CC-BY 2.0 (France) Attribution: tatoeba.org #23972 (CK) & #7468530 (Amastan)
She wanted to die because she couldn't satisfy her parents.	Tella tebɣa ad temmet acku tella tettxemmim belli ur tezmir ara ad tessefṛeḥ imawlan-nnes.	CC-BY 2.0 (France) Attribution: tatoeba.org #839425 (mahdiye) & #2704016 (Amastan)
Sometimes we do what we have to do, not what we want to do.	Tikkal, netteg ayen ay yessefken ad t-neg, maci d ayen ay nebɣa ad t-neg.	CC-BY 2.0 (France) Attribution: tatoeba.org #2042740 (CK) & #2704464 (Amastan)
The doctor informed his patient of the name of his disease.	Yenna-as yimsujji i umuḍin isem n waḍḍan-nnes.	CC-BY 2.0 (France) Attribution: tatoeba.org #27996 (CK) & #8472006 (Amastan)
The doctor informed his patient of the name of his disease.	Yenna-as yimsujji i umuḍin isem n waṭṭan-nnes.	CC-BY 2.0 (France) Attribution: tatoeba.org #27996 (CK) & #8472007 (Amastan)
The doctor informed his patient of the name of his disease.	Tenna-as temsujjit i umuḍin isem n waḍḍan-nnes.	CC-BY 2.0 (France) Attribution: tatoeba.org #27996 (CK) & #8472008 (Amastan)
The doctor informed his patient of the name of his disease.	Tenna-as temsujjit i umuḍin isem n waṭṭan-nnes.	CC-BY 2.0 (France) Attribution: tatoeba.org #27996 (CK) & #8472009 (Amastan)
The doctor informed his patient of the name of his disease.	Yenna-as yimsujji i tmuḍint isem n waḍḍan-nnes.	CC-BY 2.0 (France) Attribution: tatoeba.org #27996 (CK) & #8472010 (Amastan)
The doctor informed his patient of the name of his disease.	Yenna-as yimsujji i tmuḍint isem n waṭṭan-nnes.	CC-BY 2.0 (France) Attribution: tatoeba.org #27996 (CK) & #8472011 (Amastan)
